"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"brms","brms","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.12.0",NA,"R (>= 3.5.0), Rcpp (>= 0.12.0), methods","rstan (>= 2.19.2), ggplot2 (>= 2.0.0), loo (>= 2.2.0), Matrix
(>= 1.1.1), mgcv (>= 1.8-13), rstantools (>= 1.5.1), bayesplot
(>= 1.5.0), shinystan (>= 2.4.0), bridgesampling (>= 0.3-0),
glue (>= 1.3.0), matrixStats, nleqslv, nlme, coda, abind,
future, stats, utils, parallel, grDevices, backports",NA,"testthat (>= 0.9.1), RWiener, mice, spdep, mnormt, lme4,
MCMCglmm, splines2, ape, arm, statmod, digest, R.rsp, knitr,
rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"Brobdingnag","Brobdingnag","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2-6",NA,"R (>= 2.13.0), methods",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"broom","broom","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.5.5",NA,"R (>= 3.1)","backports, dplyr, generics (>= 0.0.2), methods, nlme, purrr,
reshape2, stringr, tibble, tidyr",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot, brms,
btergm, car, caret, coda, covr, e1071, emmeans, ergm, gam (>=
1.15), gamlss, gamlss.data, gamlss.dist, geepack, ggplot2,
glmnet, gmm, Hmisc, irlba, Kendall, knitr, ks, Lahman, lavaan,
lfe, lme4, lmodel2, lmtest, lsmeans, maps, maptools, MASS,
Matrix, mclust, mgcv, muhaz, multcomp, network, nnet, orcutt
(>= 2.2), ordinal, plm, plyr, poLCA, psych, quantreg, rgeos,
rmarkdown, rsample, rstan, rstanarm, sp, speedglm,
statnet.common, survey, survival, testthat, tseries, xergm, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"broom.mixed","broom.mixed","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.4",NA,NA,"broom, dplyr, tidyr, plyr, purrr, tibble, reshape2, nlme,
methods, stringr, coda, TMB",NA,"knitr, testthat, ggplot2, Matrix, MCMCglmm, lme4, rstan,
rstanarm, brms, mgcv, gamlss, gamlss.data, lmerTest, glmmADMB,
glmmTMB, dotwhisker, pander, R2jags",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"Cairo","Cairo","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.5-11",NA,"R (>= 2.4.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"callr","callr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.4.3",NA,NA,"processx (>= 3.4.0), R6, utils",NA,"cliapp, covr, crayon, fansi, pingr, ps, rprojroot, spelling,
testthat, tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"cancensus","cancensus","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.2.1",NA,NA,"digest (>= 0.1), dplyr (>= 0.7), httr (>= 1.0.0), jsonlite (>=
1.0), rlang",NA,"knitr, ggplot2, leaflet, rmarkdown, readr, rgdal, rgeos,
scales, sf, sp, tidyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"cancensusHelpers","cancensusHelpers","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.0",NA,"dplyr (>= 0.7.2), cancensus, tidyr",NA,NA,"knitr, rmarkdown, tidyverse",NA,"MIT",NA,NA,NA,NA,"no","3.6.1"
"car","car","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.0-7",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, rio, lme4, nlme",NA,"alr4, boot, coxme, knitr, leaps, lmtest, Matrix,
MatrixModels, rgl (>= 0.93.960), sandwich, SparseM, survival,
survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"carData","carData","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.0-3",NA,"R (>= 3.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"caret","caret","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","6.0-86",NA,"R (>= 3.2.0), lattice (>= 0.20), ggplot2","foreach, methods, plyr, ModelMetrics (>= 1.2.2.2), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.1.10),
withr (>= 2.0.0), pROC,",NA,"BradleyTerry2, e1071, earth (>= 2.2-3), fastICA, gam (>=
1.15), ipred, kernlab, knitr, klaR, MASS, ellipse, mda, mgcv,
mlbench, MLmetrics, nnet, party (>= 0.9-99992), pls, proxy,
randomForest, RANN, spls, subselect, pamr, superpc, Cubist,
testthat (>= 0.9.1), rpart, dplyr, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"caschrono","caschrono","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.1",NA,"graphics, stats, utils, zoo","Hmisc, methods",NA,"dse, expsmooth, fBasics, FitARMA, fGarch, forecast, polynom,
timeSeries, TSA, xtable",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"caTools","caTools","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.18.0",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"celestial","celestial","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.6",NA,"R (>= 3.00), RANN, NISTunits, pracma",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"cellranger","cellranger","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"cffdrs","cffdrs","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.8.6",NA,"R(>= 3.2.2), rgdal, raster, foreach, spatial.tools","data.table, geosphere, doParallel",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"checkmate","checkmate","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"checkpoint","checkpoint","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4.9",NA,"R(>= 3.0.0)","utils",NA,"knitr, rmarkdown, testthat(>= 0.9), MASS, darts, mockery, cli",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"chemometrics","chemometrics","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4.2",NA,"R (>= 2.10), rpart","class, e1071, MASS, nnet, pcaPP, robustbase, som, lars, pls,
mclust",NA,"gclus",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"chron","chron","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.3-55",NA,"R (>= 2.12.0)","graphics, stats",NA,"scales, ggplot2","zoo","GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"Ckmeans.1d.dp","Ckmeans.1d.dp","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","4.3.2",NA,NA,"Rcpp, Rdpack","Rcpp","testthat, knitr, rmarkdown",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"classInt","classInt","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.4-3",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"cli","cli","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","2.0.2",NA,"R (>= 2.10)","assertthat, crayon (>= 1.3.4), glue, methods, utils, fansi",NA,"callr, covr, htmlwidgets, knitr, mockery, rmarkdown,
rstudioapi, prettycode (>= 1.1.0), testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"clipr","clipr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.7.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"clisymbols","clisymbols","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.2.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"coda","coda","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.19-3",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"coin","coin","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3-1",NA,"R (>= 3.4.0), survival","methods, parallel, stats, stats4, utils, libcoin (>= 1.0-0),
matrixStats (>= 0.54.0), modeltools (>= 0.2-9), mvtnorm (>=
1.0-5), multcomp","libcoin (>= 1.0-0)","xtable, e1071, vcd, TH.data (>= 1.0-7)",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"colorblindr","colorblindr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.1.0",NA,"R (>= 3.2), grDevices, colorspace (>= 1.4-0), ggplot2 (>= 2.1)","cowplot (> 0.8.0), shiny (>= 1.0.0), scales (>= 0.5.0),
methods",NA,"covr, gtable, knitr, magick, rmarkdown, testthat, vdiffr,
viridis",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"colorspace","colorspace","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.4-1",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"colourpicker","colourpicker","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0",NA,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs, utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"colourvalues","colourvalues","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3.4",NA,"R (>= 3.3.0)","graphics, Rcpp","BH (>= 1.72.0-3), Rcpp","covr, microbenchmark, scales, testthat, viridisLite",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"commonmark","commonmark","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.7",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"concaveman","concaveman","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.0",NA,"R (>= 2.10)","V8, sf, magrittr, jsonlite, methods, dplyr",NA,"testthat, sp",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"config","config","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.3",NA,NA,"yaml (>= 2.1.13)",NA,"testthat, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"corpcor","corpcor","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.6.9",NA,"R (>= 3.0.2)","stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"corrplot","corrplot","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.84",NA,NA,NA,NA,"knitr, RColorBrewer, testthat",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"covr","covr","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","3.5.0",NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",NA,"R6, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"cowplot","cowplot","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.0.0",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales, utils",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, rmarkdown, testthat (>= 1.0.0),
tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"crayon","crayon","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.3.4",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"crosstalk","crosstalk","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","1.1.0.1",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"crul","crul","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.9.0",NA,NA,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime",NA,"testthat, fauxpas (>= 0.1.0), webmockr (>= 0.1.0), knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"ctv","ctv","/home/simon/R/x86_64-pc-linux-gnu-library/3.6","0.8-5",NA,"R (>= 2.13.0), utils",NA,NA,"XML",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
