Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ali Morgan B.P.;Dupuis Manon P.N.;Fournelle Gilles P.V.Q./G.P.Q.;Gauthier Manon C.A.Q.-É.F.L.;Lapointe Frédéric P.Q.;Montpetit Marie P.L.Q./Q.L.P.;Rebelo Raphaël Q.S.;Rémillard Jean N.P.D.Q.;St-Hilaire Daniel C.P.Q.;B.V.;B.R.;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;33;377;1;0;2;19;10;54;12;0;0;98;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;;34;380;1;1;0;44;25;41;14;0;0;126;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;247;;35;353;0;0;3;42;32;61;49;3;1;191;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;247;;36;379;0;4;3;41;59;66;53;1;0;227;10;
340;Maurice-Richard;2018-10-01;G;Montréal, v;247;;37;369;0;3;3;45;44;74;52;1;1;223;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;247;;38;372;0;0;2;55;54;60;74;1;2;248;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;247;;39;355;1;3;9;56;51;52;79;3;0;254;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;247;;40;361;1;0;3;58;43;34;74;0;0;213;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;248;;41;388;0;0;6;37;45;47;54;2;2;193;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;248;;42;420;1;2;7;33;16;74;41;0;0;174;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;248;;43;401;2;1;4;27;21;89;27;1;0;172;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;248;;44;389;0;0;4;28;26;54;45;1;0;158;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;248;;45;394;0;3;4;19;39;31;81;1;0;178;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;248;;46;409;0;1;4;26;28;67;75;2;0;203;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;248;;47;402;0;1;3;22;35;55;96;0;1;213;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;249;;48;391;1;3;5;25;35;45;75;7;1;197;6;
340;Maurice-Richard;2018-10-01;G;Montréal, v;249;;49;376;0;1;5;37;28;51;81;4;1;208;6;
340;Maurice-Richard;2018-10-01;G;Montréal, v;249;;50;381;0;0;3;41;43;47;110;3;1;248;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;249;;51;377;1;2;9;55;38;38;80;1;1;225;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;249;;52;371;0;2;3;42;48;44;64;2;0;205;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;249;;53;359;0;1;3;27;21;63;66;0;3;184;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;250;;54;384;0;5;4;28;52;32;87;2;1;211;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;250;;55;371;0;0;5;25;36;37;88;0;1;192;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;250;;56;402;0;0;5;39;44;23;85;0;0;196;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;250;;57;381;0;2;6;33;48;36;78;0;0;203;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;250;;58;377;1;0;2;42;32;36;87;1;0;201;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;250;;59;397;0;2;3;43;48;36;80;1;0;213;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;250;;60;384;0;0;1;45;47;39;81;1;0;214;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;251;;61;385;0;1;4;33;52;63;55;0;2;210;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;251;;62;378;0;0;6;25;44;46;61;2;3;187;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;251;;63;377;1;3;3;35;49;49;72;2;0;214;5;
340;Maurice-Richard;2018-10-01;G;Montréal, v;251;;64;382;1;1;7;36;43;37;96;2;0;223;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;251;;65;359;0;1;3;35;43;47;44;1;2;176;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;251;;66;371;0;1;3;28;41;48;70;1;0;192;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;251;;67;369;0;1;4;33;38;46;27;0;1;150;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;252;;68;373;1;0;3;37;54;48;83;1;0;227;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;252;;69;369;0;1;3;36;30;40;58;0;0;168;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;252;;70;388;2;1;4;23;54;60;86;4;0;234;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;252;;71;371;0;2;4;38;34;73;64;1;2;218;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;252;;72;361;0;0;4;28;28;49;52;0;1;162;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;252;;73;374;1;1;4;31;26;74;51;1;0;189;7;
340;Maurice-Richard;2018-10-01;G;Montréal, v;253;;74;345;0;0;3;18;12;85;25;1;0;144;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;253;;75;351;1;1;3;43;39;55;52;1;0;195;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;253;;76;342;0;0;4;32;54;42;68;1;1;202;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;253;;77;334;1;3;6;26;14;46;45;1;0;142;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;253;;78;360;0;6;5;29;22;60;42;1;0;165;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;253;;79;370;0;0;5;39;29;68;38;1;0;180;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;253;;80;355;1;1;5;29;29;40;51;2;0;158;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;254;;81;360;0;2;3;32;21;46;49;1;0;154;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;254;;82;368;2;1;4;44;33;70;56;1;1;212;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;254;;83;376;0;3;3;27;23;71;40;1;1;169;5;
340;Maurice-Richard;2018-10-01;G;Montréal, v;254;;84;369;0;0;5;38;28;42;66;2;0;181;7;
340;Maurice-Richard;2018-10-01;G;Montréal, v;254;;85;338;0;0;6;36;36;59;58;0;2;197;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;254;;86;341;0;2;6;47;30;40;52;3;0;180;5;
340;Maurice-Richard;2018-10-01;G;Montréal, v;255;;87;354;1;3;4;45;39;65;42;1;1;201;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;255;;88;365;0;3;4;31;19;59;35;2;1;154;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;255;;89;363;0;0;4;28;13;96;44;2;0;187;6;
340;Maurice-Richard;2018-10-01;G;Montréal, v;255;;90;391;0;2;3;40;20;85;57;1;0;208;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;255;;91;347;0;6;3;32;35;51;68;0;0;195;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;256;;92;387;0;1;6;34;27;105;46;0;0;219;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;256;;93;368;1;3;3;45;34;96;31;0;0;213;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;256;;94;380;0;0;2;37;38;91;49;0;1;218;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;256;;95;397;1;1;6;50;50;46;70;2;0;226;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;256;;96;369;1;0;4;53;33;40;63;2;0;196;7;
340;Maurice-Richard;2018-10-01;G;Montréal, v;256;;97;387;0;0;5;40;54;57;47;0;0;203;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;256;;98;378;2;0;5;33;26;82;44;2;2;196;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;257;;99;394;1;2;1;33;14;114;29;1;0;195;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;257;;100;411;1;0;3;24;11;150;33;0;0;222;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;257;;101;417;0;1;2;32;18;107;24;0;0;184;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;257;;102;421;1;2;5;26;25;86;49;1;0;195;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;258;;103;393;0;1;3;38;35;62;66;0;0;205;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;258;;104;390;1;1;7;42;31;41;48;2;0;173;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;258;;105;407;1;1;3;51;29;56;52;1;0;194;5;
340;Maurice-Richard;2018-10-01;G;Montréal, v;258;;106;373;1;0;4;38;29;54;59;0;0;185;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;258;;107;367;0;1;8;33;25;62;42;0;0;171;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;258;;108;390;0;2;7;41;36;52;57;0;0;195;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;258;;109;390;0;1;3;37;22;72;47;1;1;184;5;
340;Maurice-Richard;2018-10-01;G;Montréal, v;258;;110;415;0;1;3;29;21;83;24;2;0;163;6;
340;Maurice-Richard;2018-10-01;G;Montréal, v;258;;111;419;0;1;1;34;25;71;40;2;0;174;5;
340;Maurice-Richard;2018-10-01;G;Montréal, v;258;;112;388;2;1;1;33;19;65;36;2;0;159;6;
340;Maurice-Richard;2018-10-01;G;Montréal, v;258;;113;410;1;2;3;44;38;83;44;1;1;217;7;
340;Maurice-Richard;2018-10-01;G;Montréal, v;259;;114;145;0;1;0;22;13;23;10;0;0;69;1;
340;Maurice-Richard;2018-10-01;G;Montréal, v;260;;115;360;3;0;2;30;12;82;17;0;1;147;5;
340;Maurice-Richard;2018-10-01;G;Montréal, v;260;;116;352;1;1;2;55;34;59;28;1;1;182;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;260;;117;335;2;5;2;52;34;67;34;7;2;205;4;
340;Maurice-Richard;2018-10-01;G;Montréal, v;260;;118;345;0;0;3;56;36;63;25;0;0;183;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;260;;119;351;1;2;4;17;26;47;27;2;1;127;3;
340;Maurice-Richard;2018-10-01;G;Montréal, v;260;;120;355;3;0;6;38;21;52;32;0;1;153;2;
340;Maurice-Richard;2018-10-01;G;Montréal, v;246;Regr. BVO-34;501;46;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;251;Regr. BVO-61;502;504;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;251;Regr. BVO-67;503;219;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;251;Regr. BVO-67;504;140;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;253;Regr. BVO-80;505;90;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;255;Regr. BVO-87;506;85;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;258;Regr. BVO-113;507;162;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;258;Regr. BVO-113;508;271;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;259;Regr. BVO-117;509;262;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;259;Regr. BVO-117;510;141;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;259;Regr. BVO-114;511;132;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;259;Regr. BVO-114;512;102;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;259;Regr. BVO-114;513;98;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;259;Regr. BVO-116;514;157;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;259;Regr. BVO-116;515;93;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Montréal, v;260;Regr. BVO-116;516;40;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;BVA1: SV no 1 à 8;;;;0;0;1;1;66;79;80;83;3;2;315;2;
340;Maurice-Richard;2018-10-01;G;BVA2: SV no 9 à 15;;;;0;1;0;3;51;41;69;77;1;0;243;2;
340;Maurice-Richard;2018-10-01;G;BVA3: SV no 16 à 21;;;;0;1;3;0;3;63;46;98;0;1;215;4;
340;Maurice-Richard;2018-10-01;G;BVA4: SV no 22 à 27;;;;0;1;2;12;100;87;128;95;1;2;428;6;
340;Maurice-Richard;2018-10-01;G;BVA5: SV no 28 à 33;;;;0;2;0;7;78;93;104;68;2;1;355;4;
340;Maurice-Richard;2018-10-01;G;BVA6: SV no 34 à 39;;;;0;0;0;1;89;90;90;71;0;0;341;7;
340;Maurice-Richard;2018-10-01;G;BVA7: SV no 40 à 46;;;;0;0;2;6;88;115;159;138;1;0;509;9;
340;Maurice-Richard;2018-10-01;G;BVA8: SV no 47 à 53;;;;0;0;3;4;68;94;64;120;0;1;354;0;
340;Maurice-Richard;2018-10-01;G;BVA9: SV no 54 à 60;;;;0;0;2;5;68;111;65;175;2;0;428;2;
340;Maurice-Richard;2018-10-01;G;BVA10: SV no 61 à 67;;;;0;1;0;7;82;115;93;143;2;2;445;7;
340;Maurice-Richard;2018-10-01;G;BVA11: SV no 68 à 75;;;;0;0;2;4;74;87;100;95;1;0;363;5;
340;Maurice-Richard;2018-10-01;G;BVA12: SV no 76 à 83;;;;0;2;4;5;74;83;107;87;0;0;362;6;
340;Maurice-Richard;2018-10-01;G;BVA13: SV no 84 à 91;;;;0;3;1;4;72;70;55;56;2;0;263;0;
340;Maurice-Richard;2018-10-01;G;BVA14: SV no 92 à 98;;;;0;0;3;2;56;57;63;49;3;0;233;4;
340;Maurice-Richard;2018-10-01;G;BVA15: SV no 99 à 105;;;;0;0;0;5;57;51;91;48;2;0;254;5;
340;Maurice-Richard;2018-10-01;G;BVA16: SV no 106 à 112;;;;0;0;6;6;99;96;120;68;2;2;399;10;
340;Maurice-Richard;2018-10-01;G;BVA17: SV no 113 à 120;;;;0;0;1;1;79;66;85;28;2;1;263;3;
340;Maurice-Richard;2018-10-01;G;Vote en installation d'hébergement;;;;0;4;21;17;419;211;517;94;11;4;1298;41;
340;Maurice-Richard;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;1;1;0;22;16;108;11;3;0;162;2;
340;Maurice-Richard;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;6;9;25;330;337;483;435;6;4;1635;17;
340;Maurice-Richard;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Vote hors circonscription;;;;0;6;2;11;33;65;81;306;9;1;514;7;
340;Maurice-Richard;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;49;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;13;0;0;0;0;0;0;0;0;0;0;0;
340;Maurice-Richard;2018-10-01;G;Total de la circonscription;;;;47407;90;214;602;6330;6131;9459;8929;216;77;32048;486;
340;Maurice-Richard;2018-10-01;G;Majorité en faveur de Marie Montpetit : 530
