Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bacchi Loredana C.A.Q.-É.F.L.;Gauthier Claude P.Q.;Lavoie Caleb P.C.Q./C.P.Q.;Le Seigle Yves P.M.L.Q.;Tanguay Marc P.L.Q./Q.L.P.;Touchette David Q.S.;B.V.;B.R.;
390;LaFontaine;2018-10-01;G;Montréal, v;379;;31;379;45;18;4;0;110;8;185;2;
390;LaFontaine;2018-10-01;G;Montréal, v;379;;32;392;32;15;0;1;138;14;200;3;
390;LaFontaine;2018-10-01;G;Montréal, v;379;;33;403;9;4;6;1;161;11;192;3;
390;LaFontaine;2018-10-01;G;Montréal, v;379;;34;388;22;4;4;0;140;10;180;1;
390;LaFontaine;2018-10-01;G;Montréal, v;379;;35;387;30;12;0;0;79;13;134;1;
390;LaFontaine;2018-10-01;G;Montréal, v;379;;36;385;14;3;5;1;118;7;148;3;
390;LaFontaine;2018-10-01;G;Montréal, v;379;;37;374;34;9;1;1;102;13;160;2;
390;LaFontaine;2018-10-01;G;Montréal, v;379;;38;390;20;3;7;0;120;6;156;2;
390;LaFontaine;2018-10-01;G;Montréal, v;379;;39;392;20;3;1;0;129;6;159;1;
390;LaFontaine;2018-10-01;G;Montréal, v;379;;40;383;26;5;7;1;119;2;160;2;
390;LaFontaine;2018-10-01;G;Montréal, v;379;;41;393;37;4;3;1;119;14;178;0;
390;LaFontaine;2018-10-01;G;Montréal, v;379;;42;381;23;6;4;0;124;10;167;3;
390;LaFontaine;2018-10-01;G;Montréal, v;380;;43;358;21;2;5;1;146;1;176;2;
390;LaFontaine;2018-10-01;G;Montréal, v;380;;44;380;21;5;1;0;126;9;162;3;
390;LaFontaine;2018-10-01;G;Montréal, v;380;;45;366;19;7;1;0;124;6;157;2;
390;LaFontaine;2018-10-01;G;Montréal, v;380;;46;373;13;2;3;0;118;7;143;0;
390;LaFontaine;2018-10-01;G;Montréal, v;380;;47;374;22;16;1;0;72;21;132;1;
390;LaFontaine;2018-10-01;G;Montréal, v;380;;48;364;36;8;1;0;104;21;170;7;
390;LaFontaine;2018-10-01;G;Montréal, v;380;;49;367;40;7;3;0;102;12;164;5;
390;LaFontaine;2018-10-01;G;Montréal, v;381;;50;382;37;12;7;0;112;11;179;4;
390;LaFontaine;2018-10-01;G;Montréal, v;381;;51;385;38;6;1;1;131;12;189;3;
390;LaFontaine;2018-10-01;G;Montréal, v;381;;52;394;25;7;4;1;84;13;134;5;
390;LaFontaine;2018-10-01;G;Montréal, v;381;;53;378;22;2;3;0;155;4;186;3;
390;LaFontaine;2018-10-01;G;Montréal, v;381;;54;373;27;4;5;1;88;7;132;5;
390;LaFontaine;2018-10-01;G;Montréal, v;381;;55;398;28;12;2;2;115;8;167;7;
390;LaFontaine;2018-10-01;G;Montréal, v;381;;56;391;14;2;2;0;163;3;184;1;
390;LaFontaine;2018-10-01;G;Montréal, v;381;;57;388;30;3;4;1;144;8;190;2;
390;LaFontaine;2018-10-01;G;Montréal, v;381;;58;385;42;9;6;0;109;14;180;4;
390;LaFontaine;2018-10-01;G;Montréal, v;381;;59;389;29;3;7;0;119;5;163;4;
390;LaFontaine;2018-10-01;G;Montréal, v;382;;60;364;52;17;3;1;82;24;179;4;
390;LaFontaine;2018-10-01;G;Montréal, v;382;;61;379;39;22;6;1;126;22;216;0;
390;LaFontaine;2018-10-01;G;Montréal, v;382;;62;376;37;10;5;3;138;20;213;4;
390;LaFontaine;2018-10-01;G;Montréal, v;382;;63;375;28;19;2;0;124;12;185;2;
390;LaFontaine;2018-10-01;G;Montréal, v;382;;64;392;41;14;4;0;112;13;184;2;
390;LaFontaine;2018-10-01;G;Montréal, v;382;;65;378;45;11;4;2;81;15;158;1;
390;LaFontaine;2018-10-01;G;Montréal, v;382;;66;371;51;18;4;1;104;21;199;0;
390;LaFontaine;2018-10-01;G;Montréal, v;382;;67;373;30;11;3;0;105;24;173;6;
390;LaFontaine;2018-10-01;G;Montréal, v;382;;68;377;33;11;8;0;104;20;176;4;
390;LaFontaine;2018-10-01;G;Montréal, v;382;;69;364;42;13;2;0;81;14;152;6;
390;LaFontaine;2018-10-01;G;Montréal, v;382;;70;378;37;14;2;0;61;35;149;4;
390;LaFontaine;2018-10-01;G;Montréal, v;382;;71;387;27;7;3;0;116;16;169;4;
390;LaFontaine;2018-10-01;G;Montréal, v;383;;72;354;33;4;3;0;146;12;198;5;
390;LaFontaine;2018-10-01;G;Montréal, v;383;;73;356;18;6;1;1;158;4;188;1;
390;LaFontaine;2018-10-01;G;Montréal, v;383;;74;356;20;4;3;0;91;18;136;3;
390;LaFontaine;2018-10-01;G;Montréal, v;383;;75;359;41;20;4;1;103;21;190;4;
390;LaFontaine;2018-10-01;G;Montréal, v;383;;76;358;31;2;0;0;136;13;182;0;
390;LaFontaine;2018-10-01;G;Montréal, v;383;;77;370;26;8;1;0;128;7;170;3;
390;LaFontaine;2018-10-01;G;Montréal, v;383;;78;375;30;16;1;2;85;16;150;5;
390;LaFontaine;2018-10-01;G;Montréal, v;383;;79;355;44;9;2;0;102;18;175;4;
390;LaFontaine;2018-10-01;G;Montréal, v;383;;80;374;56;21;3;0;71;20;171;3;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;81;403;44;15;3;0;101;23;186;3;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;82;388;29;18;1;0;95;20;163;3;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;83;387;23;12;2;1;98;17;153;3;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;84;372;28;6;3;1;127;15;180;4;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;85;388;57;11;2;1;82;19;172;5;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;86;375;67;26;4;0;66;18;181;4;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;87;376;29;19;3;0;81;26;158;8;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;88;397;47;21;2;1;87;21;179;5;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;89;374;47;16;9;0;89;22;183;5;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;90;390;34;10;2;1;138;18;203;0;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;91;381;41;18;1;1;97;20;178;3;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;92;373;44;8;1;0;123;9;185;3;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;93;382;52;15;2;1;95;35;200;6;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;94;376;31;15;5;1;108;19;179;0;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;95;385;57;26;7;0;87;18;195;1;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;96;390;70;18;0;0;82;26;196;1;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;97;372;35;11;5;0;85;24;160;0;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;98;393;37;14;4;0;119;12;186;1;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;99;393;46;20;10;1;90;28;195;2;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;100;389;29;10;1;1;113;11;165;2;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;101;385;46;12;3;2;116;18;197;3;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;102;375;53;37;1;2;49;20;162;0;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;103;387;63;35;1;0;59;35;193;10;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;104;410;51;32;2;0;73;20;178;0;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;105;412;65;23;5;3;109;14;219;4;
390;LaFontaine;2018-10-01;G;Montréal, v;384;;106;414;52;18;2;0;28;10;110;2;
390;LaFontaine;2018-10-01;G;Montréal, v;375;Regr. BVO-1;500;250;0;0;0;0;0;0;0;0;
390;LaFontaine;2018-10-01;G;Montréal, v;375;Regr. BVO-1;501;251;0;0;0;0;0;0;0;0;
390;LaFontaine;2018-10-01;G;Montréal, v;375;Regr. BVO-2;502;277;0;0;0;0;0;0;0;0;
390;LaFontaine;2018-10-01;G;Montréal, v;375;Regr. BVO-3;503;220;0;0;0;0;0;0;0;0;
390;LaFontaine;2018-10-01;G;Montréal, v;375;Regr. BVO-4;504;274;0;0;0;0;0;0;0;0;
390;LaFontaine;2018-10-01;G;Montréal, v;375;Regr. BVO-5;505;234;0;0;0;0;0;0;0;0;
390;LaFontaine;2018-10-01;G;Montréal, v;375;Regr. BVO-6;506;258;0;0;0;0;0;0;0;0;
390;LaFontaine;2018-10-01;G;Montréal, v;378;Regr. BVO-30;507;109;0;0;0;0;0;0;0;0;
390;LaFontaine;2018-10-01;G;Montréal, v;378;Regr. BVO-30;508;50;0;0;0;0;0;0;0;0;
390;LaFontaine;2018-10-01;G;Montréal, v;380;Regr. BVO-48;509;103;0;0;0;0;0;0;0;0;
390;LaFontaine;2018-10-01;G;BVA1: SV no 1 à 6;;;;0;69;36;6;1;100;22;234;7;
390;LaFontaine;2018-10-01;G;BVA2: SV no 7 à 13;;;;0;50;14;5;1;125;19;214;4;
390;LaFontaine;2018-10-01;G;BVA3: SV no 14 à 20;;;;0;63;31;6;0;173;29;302;6;
390;LaFontaine;2018-10-01;G;BVA4: SV no 21 à 27;;;;0;61;29;2;0;160;27;279;6;
390;LaFontaine;2018-10-01;G;BVA5: SV no 28 à 34;;;;0;29;10;2;0;159;9;209;8;
390;LaFontaine;2018-10-01;G;BVA6: SV no 35 à 41;;;;0;46;15;2;0;156;8;227;1;
390;LaFontaine;2018-10-01;G;BVA7: SV no 42 à 47;;;;0;30;4;1;1;139;10;185;1;
390;LaFontaine;2018-10-01;G;BVA8: SV no 50 à 56;;;;0;36;14;3;0;204;15;272;1;
390;LaFontaine;2018-10-01;G;BVA9: SV no 57 à 62;;;;0;20;14;4;0;90;9;137;4;
390;LaFontaine;2018-10-01;G;BVA10: SV no 48 à 49, 63 à 66;;;;0;54;23;2;2;86;12;179;2;
390;LaFontaine;2018-10-01;G;BVA11: SV no 67 à 73;;;;0;46;22;3;0;86;8;165;2;
390;LaFontaine;2018-10-01;G;BVA12: SV no 74 à 79;;;;0;39;15;2;0;93;7;156;5;
390;LaFontaine;2018-10-01;G;BVA13: SV no 80 à 86;;;;0;41;26;0;0;106;13;186;3;
390;LaFontaine;2018-10-01;G;BVA14: SV no 87 à 93;;;;0;61;31;2;0;99;17;210;2;
390;LaFontaine;2018-10-01;G;BVA15: SV no 94 à 99;;;;0;52;25;0;1;59;21;158;5;
390;LaFontaine;2018-10-01;G;BVA16: SV no 100 à 106;;;;0;65;51;1;0;55;26;198;1;
390;LaFontaine;2018-10-01;G;Vote en installation d'hébergement;;;;0;533;201;12;8;510;76;1340;35;
390;LaFontaine;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;16;15;4;1;27;17;80;6;
390;LaFontaine;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;350;126;20;6;860;148;1510;40;
390;LaFontaine;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;
390;LaFontaine;2018-10-01;G;Vote hors circonscription;;;;0;24;17;3;0;77;55;176;8;
390;LaFontaine;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;6;0;0;0;0;0;0;0;0;
390;LaFontaine;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;27;0;0;0;0;0;0;0;0;
390;LaFontaine;2018-10-01;G;Total de la circonscription;;;;42584;5400;2057;434;80;14491;2181;24643;493;
390;LaFontaine;2018-10-01;G;Majorité en faveur de Marc Tanguay : 9091
