Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cammarrota Giuseppe P.V.Q./G.P.Q.;Derraji Monsef P.L.Q./Q.L.P.;Legendre Chantal P.Q.;Levitsky-Kaminski Mathew P.C.Q./C.P.Q.;Murphy Leslie Eric N.P.D.Q.;Rapoport Angela C.A.Q.-É.F.L.;Tremblay-Pepin Simon Q.S.;B.V.;B.R.;
312;Nelligan;2018-10-01;G;Kirkland, v;4;;34;363;5;110;2;4;4;8;1;134;1;
312;Nelligan;2018-10-01;G;Kirkland, v;5;;35;358;3;165;4;9;4;19;1;205;2;
312;Nelligan;2018-10-01;G;Kirkland, v;5;;36;345;8;138;6;3;4;25;5;189;0;
312;Nelligan;2018-10-01;G;Kirkland, v;5;;37;352;6;143;13;7;3;21;5;198;0;
312;Nelligan;2018-10-01;G;Kirkland, v;5;;38;346;2;157;0;13;5;20;2;199;1;
312;Nelligan;2018-10-01;G;Kirkland, v;5;;39;349;9;127;2;6;5;17;9;175;1;
312;Nelligan;2018-10-01;G;Kirkland, v;5;;40;358;9;129;3;12;4;19;5;181;0;
312;Nelligan;2018-10-01;G;Montréal, v;1;;41;376;6;106;1;7;4;24;2;150;4;
312;Nelligan;2018-10-01;G;Montréal, v;1;;42;385;4;146;2;3;0;22;6;183;0;
312;Nelligan;2018-10-01;G;Montréal, v;1;;43;389;4;145;3;6;3;29;4;194;0;
312;Nelligan;2018-10-01;G;Montréal, v;1;;44;382;7;124;3;6;0;22;6;168;0;
312;Nelligan;2018-10-01;G;Montréal, v;1;;45;374;5;124;6;11;5;31;7;189;0;
312;Nelligan;2018-10-01;G;Montréal, v;1;;46;384;3;138;4;12;4;31;2;194;1;
312;Nelligan;2018-10-01;G;Montréal, v;1;;47;386;1;98;8;1;0;31;2;141;2;
312;Nelligan;2018-10-01;G;Montréal, v;1;;48;388;3;140;2;9;2;19;2;177;0;
312;Nelligan;2018-10-01;G;Montréal, v;1;;49;376;4;71;20;3;5;52;15;170;0;
312;Nelligan;2018-10-01;G;Montréal, v;1;;50;342;2;118;7;6;5;20;6;164;0;
312;Nelligan;2018-10-01;G;Montréal, v;1;;51;390;2;80;5;5;11;46;16;165;1;
312;Nelligan;2018-10-01;G;Montréal, v;1;;52;388;8;119;6;8;1;25;12;179;0;
312;Nelligan;2018-10-01;G;Montréal, v;1;;53;383;1;92;7;19;2;25;7;153;1;
312;Nelligan;2018-10-01;G;Montréal, v;1;;54;385;7;76;3;13;5;20;7;131;0;
312;Nelligan;2018-10-01;G;Montréal, v;1;;55;379;5;77;0;7;4;27;5;125;1;
312;Nelligan;2018-10-01;G;Montréal, v;1;;56;403;5;87;9;12;2;24;14;153;2;
312;Nelligan;2018-10-01;G;Montréal, v;1;;57;385;4;90;8;14;3;48;10;177;2;
312;Nelligan;2018-10-01;G;Montréal, v;1;;58;381;7;68;10;2;1;26;8;122;1;
312;Nelligan;2018-10-01;G;Montréal, v;1;;59;384;4;120;10;6;3;21;6;170;7;
312;Nelligan;2018-10-01;G;Montréal, v;2;;60;401;9;121;7;10;2;17;14;180;1;
312;Nelligan;2018-10-01;G;Montréal, v;2;;61;403;4;149;8;8;5;30;12;216;2;
312;Nelligan;2018-10-01;G;Montréal, v;2;;62;401;4;154;2;3;4;14;9;190;0;
312;Nelligan;2018-10-01;G;Montréal, v;2;;63;386;5;111;8;9;1;33;11;178;1;
312;Nelligan;2018-10-01;G;Montréal, v;2;;64;407;8;152;8;11;4;38;10;231;0;
312;Nelligan;2018-10-01;G;Montréal, v;2;;65;386;6;117;10;7;5;24;12;181;2;
312;Nelligan;2018-10-01;G;Montréal, v;2;;66;402;6;122;9;10;0;29;9;185;1;
312;Nelligan;2018-10-01;G;Montréal, v;2;;67;406;7;134;5;6;3;38;10;203;2;
312;Nelligan;2018-10-01;G;Montréal, v;2;;68;399;12;127;4;1;5;26;4;179;1;
312;Nelligan;2018-10-01;G;Montréal, v;3;;69;384;10;109;9;1;4;21;2;156;1;
312;Nelligan;2018-10-01;G;Montréal, v;3;;70;392;8;136;2;4;1;29;8;188;2;
312;Nelligan;2018-10-01;G;Montréal, v;3;;71;390;7;90;3;5;1;24;4;134;0;
312;Nelligan;2018-10-01;G;Montréal, v;3;;72;390;4;77;4;12;2;23;4;126;2;
312;Nelligan;2018-10-01;G;Montréal, v;3;;73;388;4;118;2;6;4;16;4;154;1;
312;Nelligan;2018-10-01;G;Montréal, v;3;;74;388;5;98;3;2;3;26;6;143;5;
312;Nelligan;2018-10-01;G;Montréal, v;3;;75;380;6;145;3;6;0;19;10;189;0;
312;Nelligan;2018-10-01;G;Montréal, v;3;;76;383;5;124;6;8;0;15;12;170;1;
312;Nelligan;2018-10-01;G;Montréal, v;4;;77;404;6;123;2;7;8;20;15;181;3;
312;Nelligan;2018-10-01;G;Montréal, v;4;;78;403;16;136;7;4;3;35;9;210;1;
312;Nelligan;2018-10-01;G;Montréal, v;4;;79;408;0;134;9;13;4;36;16;212;2;
312;Nelligan;2018-10-01;G;Montréal, v;4;;80;396;2;175;5;1;2;19;7;211;1;
312;Nelligan;2018-10-01;G;Montréal, v;4;;81;409;6;141;5;7;10;38;12;219;2;
312;Nelligan;2018-10-01;G;Montréal, v;4;;82;405;8;140;11;9;3;47;20;238;2;
312;Nelligan;2018-10-01;G;Montréal, v;4;;83;396;8;121;6;9;5;23;11;183;0;
312;Nelligan;2018-10-01;G;Montréal, v;4;;84;400;10;94;2;7;4;24;12;153;1;
312;Nelligan;2018-10-01;G;Montréal, v;5;;85;370;3;76;2;4;2;16;13;116;5;
312;Nelligan;2018-10-01;G;Montréal, v;5;;86;377;4;79;10;2;3;42;13;153;2;
312;Nelligan;2018-10-01;G;Montréal, v;6;;87;342;3;60;9;3;4;27;8;114;1;
312;Nelligan;2018-10-01;G;Montréal, v;6;;88;381;9;44;15;8;1;32;9;118;1;
312;Nelligan;2018-10-01;G;Montréal, v;6;;89;357;5;50;16;7;2;28;17;125;5;
312;Nelligan;2018-10-01;G;Montréal, v;6;;90;357;6;60;20;3;1;33;13;136;2;
312;Nelligan;2018-10-01;G;Montréal, v;6;;91;366;2;59;10;3;2;22;9;107;1;
312;Nelligan;2018-10-01;G;Montréal, v;6;;92;364;3;54;5;5;8;42;8;125;2;
312;Nelligan;2018-10-01;G;Montréal, v;7;;93;397;5;59;21;4;5;55;27;176;2;
312;Nelligan;2018-10-01;G;Montréal, v;7;;94;406;7;71;20;5;5;65;33;206;5;
312;Nelligan;2018-10-01;G;Montréal, v;7;;95;403;6;51;21;0;4;56;23;161;4;
312;Nelligan;2018-10-01;G;Montréal, v;7;;96;406;6;110;21;7;3;52;15;214;5;
312;Nelligan;2018-10-01;G;Montréal, v;7;;97;418;11;124;10;6;1;42;6;200;0;
312;Nelligan;2018-10-01;G;Montréal, v;7;;98;404;12;103;6;6;3;54;11;195;1;
312;Nelligan;2018-10-01;G;Montréal, v;7;;99;420;1;122;10;4;4;46;16;203;5;
312;Nelligan;2018-10-01;G;Montréal, v;8;;100;391;6;44;20;3;3;71;32;179;2;
312;Nelligan;2018-10-01;G;Montréal, v;8;;101;381;6;64;31;2;1;41;23;168;1;
312;Nelligan;2018-10-01;G;Montréal, v;8;;102;394;4;58;32;2;1;66;21;184;2;
312;Nelligan;2018-10-01;G;Montréal, v;8;;103;395;6;87;12;4;1;61;17;188;0;
312;Nelligan;2018-10-01;G;Montréal, v;8;;104;388;9;101;17;6;3;61;25;222;4;
312;Nelligan;2018-10-01;G;Montréal, v;8;;105;384;8;67;25;7;3;67;26;203;3;
312;Nelligan;2018-10-01;G;Montréal, v;8;;106;382;6;119;9;4;3;43;10;194;1;
312;Nelligan;2018-10-01;G;Montréal, v;8;;107;394;8;111;7;4;1;51;6;188;3;
312;Nelligan;2018-10-01;G;Montréal, v;9;;108;389;5;107;19;6;2;52;18;209;1;
312;Nelligan;2018-10-01;G;Montréal, v;9;;109;401;5;120;16;9;3;43;15;211;3;
312;Nelligan;2018-10-01;G;Montréal, v;9;;110;371;12;98;29;4;2;41;17;203;0;
312;Nelligan;2018-10-01;G;Montréal, v;9;;111;397;6;58;26;3;2;54;27;176;0;
312;Nelligan;2018-10-01;G;Montréal, v;9;;112;393;13;75;18;3;4;38;13;164;1;
312;Nelligan;2018-10-01;G;Montréal, v;9;;113;397;7;74;17;4;4;65;24;195;4;
312;Nelligan;2018-10-01;G;Montréal, v;9;;114;401;7;80;16;4;4;62;25;198;1;
312;Nelligan;2018-10-01;G;Montréal, v;9;;115;401;5;104;7;6;3;48;13;186;4;
312;Nelligan;2018-10-01;G;Montréal, v;9;;116;394;6;100;20;6;1;68;15;216;4;
312;Nelligan;2018-10-01;G;Montréal, v;9;;117;386;3;119;12;5;2;53;9;203;3;
312;Nelligan;2018-10-01;G;Montréal, v;9;;118;406;3;120;12;5;0;61;13;214;3;
312;Nelligan;2018-10-01;G;Montréal, v;9;;119;379;5;85;10;2;1;50;14;167;0;
312;Nelligan;2018-10-01;G;Montréal, v;9;;120;379;6;75;17;5;1;58;19;181;0;
312;Nelligan;2018-10-01;G;Montréal, v;10;;121;386;7;110;6;9;6;33;12;183;1;
312;Nelligan;2018-10-01;G;Montréal, v;10;;122;400;11;108;13;5;4;42;11;194;0;
312;Nelligan;2018-10-01;G;Montréal, v;10;;123;393;2;121;15;8;3;39;20;208;1;
312;Nelligan;2018-10-01;G;Montréal, v;10;;124;405;4;111;11;8;2;20;14;170;0;
312;Nelligan;2018-10-01;G;Montréal, v;10;;125;393;7;90;5;3;2;35;15;157;0;
312;Nelligan;2018-10-01;G;Montréal, v;10;;126;392;2;111;12;2;2;24;3;156;0;
312;Nelligan;2018-10-01;G;Montréal, v;10;;127;398;2;65;5;2;0;16;6;96;0;
312;Nelligan;2018-10-01;G;Montréal, v;10;;128;399;2;109;5;5;6;16;7;150;3;
312;Nelligan;2018-10-01;G;Montréal, v;11;;129;361;5;140;5;6;0;10;9;175;0;
312;Nelligan;2018-10-01;G;Montréal, v;11;;130;345;1;104;2;6;4;20;4;141;2;
312;Nelligan;2018-10-01;G;Montréal, v;11;;131;359;4;105;5;2;2;32;6;156;3;
312;Nelligan;2018-10-01;G;Montréal, v;11;;132;362;4;102;10;11;1;20;13;161;0;
312;Nelligan;2018-10-01;G;Montréal, v;11;;133;361;4;116;9;10;1;15;7;162;4;
312;Nelligan;2018-10-01;G;Montréal, v;12;;134;365;5;101;7;6;1;17;3;140;1;
312;Nelligan;2018-10-01;G;Montréal, v;12;;135;375;5;97;9;5;2;33;19;170;1;
312;Nelligan;2018-10-01;G;Montréal, v;12;;136;359;5;106;12;5;2;23;14;167;1;
312;Nelligan;2018-10-01;G;Montréal, v;12;;137;376;9;133;4;5;3;12;11;177;2;
312;Nelligan;2018-10-01;G;Montréal, v;12;;138;370;3;124;12;5;5;19;14;182;0;
312;Nelligan;2018-10-01;G;Montréal, v;12;;139;370;5;106;6;6;0;13;5;141;1;
312;Nelligan;2018-10-01;G;Montréal, v;12;;140;378;3;125;5;5;2;18;4;162;1;
312;Nelligan;2018-10-01;G;Montréal, v;12;;141;357;1;112;2;2;3;12;5;137;1;
312;Nelligan;2018-10-01;G;Montréal, v;13;;142;392;5;134;5;5;1;18;7;175;4;
312;Nelligan;2018-10-01;G;Montréal, v;13;;143;388;3;106;4;2;2;21;6;144;1;
312;Nelligan;2018-10-01;G;Montréal, v;13;;144;375;3;104;5;3;5;29;8;157;1;
312;Nelligan;2018-10-01;G;Montréal, v;13;;145;368;6;128;7;3;0;16;7;167;2;
312;Nelligan;2018-10-01;G;Montréal, v;13;;146;385;7;92;12;6;1;27;11;156;2;
312;Nelligan;2018-10-01;G;Montréal, v;13;;147;409;4;105;3;2;4;19;11;148;1;
312;Nelligan;2018-10-01;G;Montréal, v;13;;148;383;6;111;7;6;5;18;8;161;3;
312;Nelligan;2018-10-01;G;Montréal, v;13;;149;391;7;81;9;7;4;26;12;146;1;
312;Nelligan;2018-10-01;G;Kirkland, v;5;Regr. BVO-40;500;186;0;0;0;0;0;0;0;0;0;
312;Nelligan;2018-10-01;G;Montréal, v;1;Regr. BVO-50;501;130;0;0;0;0;0;0;0;0;0;
312;Nelligan;2018-10-01;G;Montréal, v;1;Regr. BVO-54;502;38;0;0;0;0;0;0;0;0;0;
312;Nelligan;2018-10-01;G;Montréal, v;5;Regr. BVO-85;503;41;0;0;0;0;0;0;0;0;0;
312;Nelligan;2018-10-01;G;Montréal, v;6;Regr. BVO-87;504;323;0;0;0;0;0;0;0;0;0;
312;Nelligan;2018-10-01;G;Montréal, v;6;Regr. BVO-89;505;95;0;0;0;0;0;0;0;0;0;
312;Nelligan;2018-10-01;G;Montréal, v;6;Regr. BVO-90;506;12;0;0;0;0;0;0;0;0;0;
312;Nelligan;2018-10-01;G;Montréal, v;6;Regr. BVO-91;507;56;0;0;0;0;0;0;0;0;0;
312;Nelligan;2018-10-01;G;Montréal, v;8;Regr. BVO-107;508;55;0;0;0;0;0;0;0;0;0;
312;Nelligan;2018-10-01;G;Montréal, v;9;Regr. BVO-111;509;102;0;0;0;0;0;0;0;0;0;
312;Nelligan;2018-10-01;G;Montréal, v;9;Regr. BVO-112;510;29;0;0;0;0;0;0;0;0;0;
312;Nelligan;2018-10-01;G;BVA1: SV no 1 à 7;;;;0;12;228;2;5;5;34;2;288;0;
312;Nelligan;2018-10-01;G;BVA2: SV no 8 à 14;;;;0;2;178;1;7;1;26;4;219;0;
312;Nelligan;2018-10-01;G;BVA3: SV no 15 à 21;;;;0;10;250;2;5;2;39;2;310;0;
312;Nelligan;2018-10-01;G;BVA4: SV no 22 à 28;;;;0;6;221;4;8;2;30;9;280;0;
312;Nelligan;2018-10-01;G;BVA5: SV no 29 à 35;;;;0;4;256;6;4;1;16;6;293;3;
312;Nelligan;2018-10-01;G;BVA6: SV no 36 à 40;;;;0;2;184;3;1;4;19;4;217;3;
312;Nelligan;2018-10-01;G;BVA7: SV no 41 à 47;;;;0;1;167;5;9;3;58;7;250;1;
312;Nelligan;2018-10-01;G;BVA8: SV no 48 à 54;;;;0;2;123;8;7;4;44;8;196;0;
312;Nelligan;2018-10-01;G;BVA9: SV no 55 à 60;;;;0;2;74;8;1;4;32;9;130;1;
312;Nelligan;2018-10-01;G;BVA10: SV no 61 à 66;;;;0;3;195;9;6;1;46;8;268;2;
312;Nelligan;2018-10-01;G;BVA11: SV no 67 à 71;;;;0;2;88;9;2;0;28;6;135;1;
312;Nelligan;2018-10-01;G;BVA12: SV no 72 à 78;;;;0;1;76;6;2;0;24;6;115;1;
312;Nelligan;2018-10-01;G;BVA13: SV no 79 à 85;;;;0;8;146;11;2;1;23;10;201;1;
312;Nelligan;2018-10-01;G;BVA14: SV no 86 à 92;;;;0;7;74;11;2;5;30;8;137;1;
312;Nelligan;2018-10-01;G;BVA15: SV no 121 à 127;;;;0;4;236;23;5;5;63;12;348;3;
312;Nelligan;2018-10-01;G;BVA16: SV no 128 à 134;;;;0;3;149;11;7;8;41;16;235;0;
312;Nelligan;2018-10-01;G;BVA17: SV no 135 à 142;;;;0;5;135;10;1;0;19;14;184;3;
312;Nelligan;2018-10-01;G;BVA18: SV no 143 à 149;;;;0;6;115;9;6;5;31;9;181;5;
312;Nelligan;2018-10-01;G;BVA19: SV no 93 à 99;;;;0;4;113;26;5;2;68;17;235;2;
312;Nelligan;2018-10-01;G;BVA20: SV no 100 à 106;;;;0;8;128;18;5;4;104;24;291;2;
312;Nelligan;2018-10-01;G;BVA21: SV no 107 à 113;;;;0;11;195;23;7;0;126;44;406;4;
312;Nelligan;2018-10-01;G;BVA22: SV no 114 à 120;;;;0;8;126;27;11;1;95;13;281;2;
312;Nelligan;2018-10-01;G;Vote en installation d'hébergement;;;;0;8;347;23;16;7;109;16;526;17;
312;Nelligan;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;0;9;1;0;0;6;0;16;0;
312;Nelligan;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;53;1333;140;50;31;397;143;2147;5;
312;Nelligan;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;
312;Nelligan;2018-10-01;G;Vote hors circonscription;;;;0;14;144;14;4;23;39;81;319;4;
312;Nelligan;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;27;0;0;0;0;0;0;0;0;0;
312;Nelligan;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;7;0;0;0;0;0;0;0;0;0;
312;Nelligan;2018-10-01;G;Total de la circonscription;;;;58249;1040;22421;1580;1038;537;5911;1902;34429;274;
312;Nelligan;2018-10-01;G;Majorité en faveur de Monsef Derraji : 16510
