Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanc Michelle P.Q.;Collu Gabrielle P.L.Q./Q.L.P.;Gagné Johanne C.A.Q.-É.F.L.;Ghazal Ruba Q.S.;Lachapelle Serge P.M.L.Q.;Marcil Malou P.N.;Proulx Ludovic P.C.Q./C.P.Q.;Rochemont Stephanie P.V.Q./G.P.Q.;Thompson Conrad N.P.D.Q.;B.V.;B.R.;
350;Mercier;2018-10-01;G;Montréal, v;188;;116;361;26;21;21;136;0;1;2;9;2;218;2;
350;Mercier;2018-10-01;G;Montréal, v;188;;117;343;30;17;16;106;0;1;1;5;3;179;5;
350;Mercier;2018-10-01;G;Montréal, v;188;;118;374;37;11;27;108;1;4;0;7;2;197;1;
350;Mercier;2018-10-01;G;Montréal, v;188;;119;360;34;32;19;108;1;2;1;3;4;204;2;
350;Mercier;2018-10-01;G;Montréal, v;175;Regr. BVO-28;500;144;0;0;0;0;0;0;0;0;0;0;0;
350;Mercier;2018-10-01;G;Montréal, v;179;Regr. BVO-54;501;150;0;0;0;0;0;0;0;0;0;0;0;
350;Mercier;2018-10-01;G;Montréal, v;185;Regr. BVO-88;502;156;0;0;0;0;0;0;0;0;0;0;0;
350;Mercier;2018-10-01;G;Montréal, v;188;Regr. BVO-117;503;50;0;0;0;0;0;0;0;0;0;0;0;
350;Mercier;2018-10-01;G;BVA1: SV no 1 à 4;;;;0;5;14;1;43;0;0;2;1;0;66;0;
350;Mercier;2018-10-01;G;BVA2: SV no 5 à 8;;;;0;6;17;2;27;0;0;3;2;3;60;0;
350;Mercier;2018-10-01;G;BVA3: SV no 16 à 21;;;;0;17;15;3;103;1;1;0;1;5;146;2;
350;Mercier;2018-10-01;G;BVA4: SV no 22 à 28;;;;0;33;68;31;142;0;2;2;7;6;291;1;
350;Mercier;2018-10-01;G;BVA5: SV no 9 à 12;;;;0;12;26;9;50;0;0;1;0;5;103;1;
350;Mercier;2018-10-01;G;BVA6: SV no 29 à 34;;;;0;15;45;14;84;0;1;0;7;6;172;0;
350;Mercier;2018-10-01;G;BVA7: SV no 35 à 40;;;;0;22;33;14;85;0;1;0;9;4;168;1;
350;Mercier;2018-10-01;G;BVA8: SV no 41 à 46;;;;0;41;36;19;173;1;0;0;8;6;284;1;
350;Mercier;2018-10-01;G;BVA9: SV no 47 à 54;;;;0;54;64;36;157;0;2;1;9;3;326;0;
350;Mercier;2018-10-01;G;BVA10: SV no 55 à 59;;;;0;30;33;18;121;0;0;0;9;4;215;3;
350;Mercier;2018-10-01;G;BVA11: SV no 60 à 64;;;;0;52;26;18;148;0;3;1;9;3;260;4;
350;Mercier;2018-10-01;G;BVA12: SV no 65 à 70;;;;0;40;32;30;178;0;1;0;5;2;288;3;
350;Mercier;2018-10-01;G;BVA13: SV no 71 à 75;;;;0;29;19;21;106;0;0;1;3;1;180;3;
350;Mercier;2018-10-01;G;BVA14: SV no 76 à 80;;;;0;19;18;12;65;0;2;3;2;1;122;0;
350;Mercier;2018-10-01;G;BVA15: SV no 81 à 86;;;;0;44;13;22;135;0;1;0;9;2;226;5;
350;Mercier;2018-10-01;G;BVA16: SV no 87 à 92;;;;0;50;18;20;149;0;1;1;2;3;244;2;
350;Mercier;2018-10-01;G;BVA17: SV no 93 à 98;;;;0;60;37;27;171;0;1;0;11;5;312;3;
350;Mercier;2018-10-01;G;BVA18: SV no 99 à 105;;;;0;55;33;22;251;0;3;1;3;5;373;2;
350;Mercier;2018-10-01;G;BVA19: SV no 106 à 112;;;;0;57;26;33;241;1;1;1;11;5;376;5;
350;Mercier;2018-10-01;G;BVA20: SV no 113 à 119;;;;0;47;18;25;188;1;3;0;7;1;290;1;
350;Mercier;2018-10-01;G;BVA21: SV no 13 à 15;;;;0;4;22;5;32;0;0;0;4;2;69;2;
350;Mercier;2018-10-01;G;Vote en installation d'hébergement;;;;0;42;96;56;40;4;3;0;3;6;250;13;
350;Mercier;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;1;20;1;3;0;0;0;0;0;25;2;
350;Mercier;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;275;349;149;1336;3;16;10;76;48;2262;28;
350;Mercier;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;0;
350;Mercier;2018-10-01;G;Vote hors circonscription;;;;0;32;60;15;452;0;3;1;28;8;599;13;
350;Mercier;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;106;0;0;0;0;0;0;0;0;0;0;0;
350;Mercier;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;6;0;0;0;0;0;0;0;0;0;0;0;
350;Mercier;2018-10-01;G;Total de la circonscription;;;;45048;3542;5172;2348;15919;34;233;122;1102;738;29210;322;
350;Mercier;2018-10-01;G;Majorité en faveur de Ruba Ghazal : 10747
